Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST-ZH-02AW-P=1.5-H3.6,1,3.7V,C722934
"C1, C11, C2, C4, C9",0603,5,10u,C19702
"C10, C12, C13, C14, C3, C8",0603,6,100n,C14663
"C5, C6, C7",0805,3,22uF,C907991
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
L1,L_0806,1,1.5uH,C3020027
Q1,TSOT-23,1,Si2301CDS,C10487
"R1, R10, R11, R2, R4",0603,5,5.1k,C23186
"R12, R13",0603,2,22,C23345
"R14, R15, R16, R17, R18, R19, R20, R21, R3, R7",0603,10,10k,C25804
"R22, R23, R9",0603,3,100,C22775
R5,0603,1,249k,C22918
R6,0603,1,4.53k,C25971
R8,0603,1,100k,C25803
SW1,SW_SPST_TS-1088-xR020,1,RESET,C720477
SW2,K1-1511SA-01,1,~,C145907
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,BQ24074RGT,C54313
U3,SOT-563,1,TPS628438DRL,C38060243
U4,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,C2934569
U5,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,
